Development,Development
Production,Production
"Canada Post Shipping","Livraison Canada Post"
Enabled,Actif
Title,"Titre"
"Request API Mode","Mode de l'appel vers l'API"
"API username","API nom d'usager"
"API password","API mot de passe"
"Customer Number","Numero client"
"Contract ID","Numero de contrat"
"Displayed Error Message","Message d'erreur a afficher."
"An error message to be displayed if the carrier is not available.","Um message a afficher si c'est impossible d'avoir les prix de livraison."
"Show Method if Not Applicable","Afficher la methode meme si non appliquable."
"Sort Order","Order de tri"
